,M1,M2
0,0.017846110303090395,0.0005005908078746745
1,0.0073515796754498675,8.471056829794976e-05
2,0.005584748331044782,4.9427842753692935e-05
3,0.004693543444343108,3.4903107938768323e-05
4,0.004186119733018603,2.724610698746131e-05
5,0.0037109600475857033,2.1693679823855766e-05
6,0.003429166689496341,1.8540013528992683e-05
7,0.0031331762532045967,1.5654696547371806e-05
8,0.0029176552904977837,1.3415451856472221e-05
9,0.0027989002062764673,1.2435649531534297e-05
10,0.002653652635557931,1.0990747204731355e-05
11,0.0024664435933274263,9.579581509752263e-06
12,0.0023901669870528934,9.311528094260678e-06
13,0.0022978570029683065,8.360502972121063e-06
14,0.0021623365573801017,7.517448104454225e-06
15,0.0020809974372282486,6.819998278712325e-06
16,0.002048340792167055,6.662280786598164e-06
17,0.001961549384452317,6.0543800975985975e-06
18,0.0018683522770081738,5.713379664361575e-06
19,0.0018241404253626962,5.407211743236411e-06
20,0.0017584133073953506,5.0285106669569665e-06
21,0.0017260046287963023,4.738746670184947e-06
22,0.0016741759343736422,4.487679284367064e-06
23,0.0016231969952749583,4.368982095867572e-06
24,0.001606354381732332,4.09476078733572e-06
25,0.0014802614383788856,3.784076727867144e-06
26,0.0015240636989208246,3.7953767829584906e-06
27,0.001497228713325618,3.6683232905089e-06
28,0.0014185200874494662,3.3287266994803943e-06
29,0.0013783616733657569,3.091955378060617e-06
30,0.0013499481848750616,2.9185138352769433e-06
31,0.001314933735411865,2.8440689826971733e-06
32,0.0013096834361583382,2.720969943914879e-06
33,0.0012622066637098539,2.601753822466809e-06
34,0.0013133198361562114,2.6588234401147744e-06
35,0.0012118340299585543,2.405720743754192e-06
36,0.0012233034437022028,2.402226307704789e-06
37,0.0011597109205890854,2.2203807766638135e-06
38,0.0011633478811219912,2.1656433063737235e-06
39,0.0011655762700547919,2.2576683454300287e-06
40,0.0011320499619980524,2.00968151863759e-06
41,0.0011647472976113779,2.1589287238752323e-06
42,0.001042488040711488,1.7079870244436857e-06
43,0.0010735948048724844,1.8306946777095449e-06
44,0.0010782966822816865,1.8010567302560387e-06
45,0.001070140617502216,1.7932125557568031e-06
46,0.0009707756160949406,1.5939326175536493e-06
