h,E1L1,E1L2,E1IL1,E1IL2,E2L1,E2L2,E2IL1,E2IL2,ML1,ML2,MIL1,MIL2,SL1,SL2,SIL1,SIL2,TIL1,TIL2
0.1,0.22205086543265048,0.0680540501520165,1.616348706666286,0.4721141866522305,0.1192697529982848,0.020863182702280346,0.9759134830820292,0.32371551737836807,0.035548582930380275,0.0020869871762290945,1.045930906399518,0.08308324691056271,0.04862785687499164,0.0049442508873014475,1.0,3.940572372345598e-16,1.1072799703972849,0.05581976719599716
0.05,0.22302071939613852,0.061046760895226586,1.6385777605354954,0.360824798802088,0.08418142853382772,0.010465184850851256,0.9648492161221321,0.23008632315019792,0.018376520533499488,0.0005366148214646495,1.0236323053152114,0.03699157364434831,0.025769997719117328,0.0012918549833957614,1.0,5.591612665402127e-16,1.0521647245883439,0.01877306119319364
0.02,0.22163859494405325,0.056540023086665926,1.6457683939843322,0.23033221237763715,0.053430963381872025,0.004358806665487443,0.9540542674831842,0.14076895716142954,0.007378513805923811,8.791519018133543e-05,1.009698483827985,0.013364251197538328,0.010491450034136006,0.00020992152174084078,1.0,8.684037890824952e-16,1.0203907702073807,0.004488812331156406
0.01,0.22294382206605778,0.055767433823138174,1.6488523594213442,0.1639194534337054,0.04050553134515593,0.0025657397439766195,0.9503902352205232,0.09937111349745803,0.003693146344357492,2.1598567565009895e-05,1.0046487356935072,0.006332848296960845,0.005259965619686661,5.129872659852346e-05,1.0,1.224378696756277e-15,1.0101154286334137,0.0015433818483130992
0.005,0.22153308500766053,0.05479389147918207,1.6496460649948756,0.11613638281107437,0.0327955285480895,0.0016763829124844226,0.9486553943462822,0.07038148900780135,0.001883714160540807,5.667507621311612e-06,1.0024204761640825,0.0032256674695706855,0.0026900114344469294,1.3476944960823518e-05,1.0,1.73806540326431e-15,1.0050316488101665,0.0005433922410474053
0.002,0.22159102773952208,0.05425676582541655,1.6476045351158277,0.07338411565490154,0.029718684442434282,0.0012115055190079509,0.9455253050445788,0.045901194115560116,0.0007322693626520264,8.561867596695749e-07,1.000939405563273,0.0012399490340973386,0.0010586265605410639,2.0676817113626707e-06,1.0,2.6813711069710216e-15,1.0020024222523676,0.0001362901317919886
0.001,0.22104347215572276,0.054154115750146115,1.6487862820597532,0.052034704268431674,0.0285089782934772,0.0010234610091261807,0.9458755639561095,0.03400397574800393,0.00037240214396490925,2.21887913961037e-07,1.0004703249447677,0.0006265073573791617,0.000544119140331558,5.509279229252709e-07,1.0,3.8471662847402774e-15,1.0010012478856996,4.8371334507578485e-05
0.0005,0.22202830029449677,0.054229171624530365,1.648926693121718,0.03705631063903651,0.02851304635666363,0.0009480648530433582,0.9456029687320495,0.02653283046438654,0.0001854262907561025,5.4974916997950615e-08,1.0002418510316466,0.00031098894799464567,0.0002651432123954019,1.2977856304234944e-07,0.9999999999999998,5.3353830233129206e-15,1.0005003768011052,1.713198610022275e-05
