h,E1L1,E1L2,E1IL1,E1IL2,E2L1,E2L2,E2IL1,E2IL2,ML1,ML2,MIL1,MIL2,SL1,SL2,SIL1,SIL2,TIL1,TIL2
0.1,0.2233499719286682,0.06918046836725612,1.6169803267578682,0.47517649556324404,-0.02577485243173071,0.020852659907582023,0.9760760051820156,0.3256277437760721,-0.0007016069839123232,0.0020791745011087093,1.0466073762636317,0.08326166160026396,0.010259251063924543,0.004699009256066654,1.0,3.909672095372955e-16,1.107351876149711,0.055821181925892915
0.05,0.2228320187166536,0.061258693510493546,1.6405188230609573,0.35727253667937076,-0.025245239721974,0.010092804959117092,0.966099406172964,0.2277842188430848,-0.0002038050798816397,0.0005454639966375353,1.0233795071019984,0.03692356959579695,0.005593918693665108,0.0012586838936219796,1.0,5.613107988896238e-16,1.0523211448706533,0.018523772678638355
0.02,0.21905518632873355,0.056372309907157025,1.646854075067824,0.23008208782955863,-0.02628733779556856,0.004327609213045766,0.9547878307887364,0.1406318892440228,0.00013504686300433907,8.934288126957403e-05,1.0095617671235058,0.013651716092369542,0.002735643987500233,0.00021145789053376456,1.0,8.741827288307901e-16,1.0204108256297695,0.004459304902156791
0.01,0.2173386441068702,0.05474583154609007,1.645633134418749,0.16346690700362781,-0.027765630902921112,0.0025551934454771086,0.9488396800063711,0.09885426333631893,-2.9044276523371253e-05,2.1705328891513104e-05,1.0046653262955454,0.00654471437213067,0.001385422292163145,5.269373840564688e-05,1.0,1.2290885943400998e-15,1.0100812050737227,0.0015486660565140085
0.005,0.2171209921719234,0.05431348588567746,1.647674465460714,0.11500579509303735,-0.02807135028053152,0.0016867459003352316,0.9475638914769512,0.07003455913751475,4.700019345750157e-05,5.553700836524937e-06,1.0023935536480661,0.0032178640355097136,0.0006699557905057136,1.3095164921164643e-05,1.0,1.7291295017932503e-15,1.0050229717741919,0.0005386968755396233
0.002,0.21699150057365604,0.05411725681619112,1.6473406147855671,0.07343350240483407,-0.02846859890022837,0.001212113366085363,0.9455299352026575,0.04600621946970429,5.425969409342235e-06,8.740403947646924e-07,1.0009413890802783,0.0012527029437156196,0.00026341150370954046,2.1281916425618774e-06,1.0,2.697109697214756e-15,1.0020020412957147,0.00013651597742640558
0.001,0.21691702586863876,0.05429052569188822,1.6480898447179093,0.05265433886263111,-0.028408178302038498,0.0010405836133134492,0.9454609141385995,0.03449719837703367,8.696803949201203e-08,2.2036548945272612e-07,1.0004767522160258,0.0006294100650165398,0.0001319268219334829,5.351046673837058e-07,1.0,3.843661218967758e-15,1.00100052781757,4.889680987755528e-05
0.0005,0.21966121745437167,0.05489145451321647,1.6487218822842176,0.03632760957812633,-0.028547590482856378,0.0009560402018789606,0.9453180442306437,0.02640904920152798,-4.706978374080019e-06,5.2675705384095444e-08,1.0002339329402652,0.00030769422484012196,5.4936215270381196e-05,1.2604324423235993e-07,1.0,5.3906116112816575e-15,1.000500335759837,1.686347271542053e-05
